country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,avg_shortfall_international_povline,avg_shortfall_lower_mid_income_povline,avg_shortfall_upper_mid_income_povline,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_3000,avg_shortfall_4000,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_international_povline,total_shortfall_lower_mid_income_povline,total_shortfall_upper_mid_income_povline,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_3000,total_shortfall_4000,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_international_povline,income_gap_ratio_lower_mid_income_povline,income_gap_ratio_upper_mid_income_povline,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_3000,income_gap_ratio_4000,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,mld,polarization,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio,Healthy Life Expectancy (IHME),Life Expectancy (IHME),Years Lived With Disability (IHME),GDP per capita,Population,GDP
Albania,1996,national,consumption,2011,1996.0,0.0,0.92066900711367,11.17414933675462,44.61841668638992,0.0574158126534935,86.17520773919996,99.63207914995569,99.91246507775932,99.9516562083065,2.7688211170843,7.54812303918347,14.8025141997288,29167.0,354001.0,1413526.0,1819.0,2730059.0,3156377.0,3165260.0,3166501.0,87717.0,239127.0,468949.0,0.2890259642297608,0.5999075734364824,1.583098047357697,0.2042268087564853,4.459418857499854,13.504298268987606,23.459159749778923,33.44881723541843,0.3446149695023248,0.4981146594833029,0.6845158761815782,8430.020298689435,212367.8809040882,2237750.250489336,371.4885651280468,12174476.586687194,42624656.45737229,74254339.98958524,105915713.2247697,30228.591279835426,119112.66417826376,321003.0356194749,15.21189285419794,18.747111669890074,28.783600861049035,20.42268087564853,44.59418857499854,67.52149134493803,78.19719916592975,83.62204308854608,14.91890076304446,17.25130671875575,19.75581510040876,0.14005071250154,2.09483180202124,12.842785473104351,0.0117261583174179,38.42913437671639,67.27306258705686,78.12875264618482,83.58160507227174,6.570820904558197,5.774804976851393,2.5384960418393008,3.4755351042215707,4.191318623310573,4.811182357886868,5.506125777420601,6.146938906834084,7.111656610029918,8.19635624778755,9.790226236526198,13.9403731397252,3.86328600141626,5.28934687872954,6.378683400734669,7.32204153448976,8.379661928695981,9.35490252453835,10.82308696786507,12.47386950099601,14.89954813672473,21.21557312580948,3.06,3.88,4.48,5.16,6.66,7.61,8.85,10.92,0.2701034197508885,0.1191043265843859,0.2412932723752757,0.9283350524333346,3.9458723774310176,3.568627450980392,1.889273356401384,1.8888888888888888,64.87,74.21,9.34,3965.6853,3209377.459,12727381011.3077
Albania,2002,national,consumption,2011,2002.0,1.0,1.57084335862702,14.13211815688005,49.66963515999645,0.0463706233257104,85.33831702536492,98.08006084701104,99.63838560500017,99.84308111495416,3.21228322967181,8.406372784532019,16.02055356185178,47927.0,431172.0,1515426.0,1415.0,2603681.0,2992432.0,3039977.0,3046222.0,98007.0,256479.0,488789.0,0.3166081350934518,0.6466789852474882,1.67154066952364,0.5350893206609989,4.719031367518954,13.701617373665618,23.422400006975305,33.3682558537502,0.3854979591727552,0.5177959849491506,0.6859526705742652,15174.078090623863,278829.87142713,2533096.190653532,757.1513887353134,12286852.310013115,41001158.28071296,71203557.30600476,101647115.08332264,37781.49848464422,132803.7964237732,335286.11989732453,16.663586057550095,20.20871828898401,30.391648536793458,53.50893206609989,47.19031367518954,68.50808686832809,78.07466668991768,83.42063963437549,17.39734989481634,18.69432034062624,20.6378241221181,0.26176108533902,2.85591770662758,15.095425572357598,0.0248164178005091,40.27142588851927,67.19276285674735,77.79233467606329,83.28972625730712,6.7158276404317006,5.539607490558332,2.3465113690222474,3.263518999366906,3.923426157626953,4.52526166457965,5.139691670055481,5.936428634711308,6.869341426405446,8.048535774292317,10.023425340432867,17.082135367823756,3.49400177410064,4.85944424737667,5.8420590397623,6.73820399638601,7.65310241006289,8.83945948667871,10.22858505934479,11.98442873345533,14.925078303213498,25.435636949619063,2.91,3.62,4.22,4.85,6.35,7.38,8.83,11.58,0.3173897983352209,0.1648115996389385,0.2689816389190795,1.215056389653677,4.831624595294237,3.9793814432989687,2.0902527075812274,1.9037800687285225,65.12,74.35,9.23,5608.9623,3103616.036,17408065339.5994
Albania,2005,national,consumption,2011,2005.0,1.0,0.86052711252553,8.71568477109178,38.5452539039565,0.0276202240307316,79.98712716476295,97.57659760661808,99.4344584351572,99.75174440435484,4.0950019098266,8.99153251423932,16.67577033199554,25915.0,262472.0,1160785.0,832.0,2408802.0,2938507.0,2994456.0,3004011.0,123320.0,270779.0,502189.0,0.2899562035667512,0.6467712566413241,1.514364565456105,0.0083281801733321,4.228461288899035,12.918564886622873,22.61158630688684,32.52479267648362,0.4360586218530859,0.6565995073779642,0.8516646133427287,7514.215015432358,169759.3452731616,1757851.672112965,6.929045904212315,10185526.009622572,37961293.34929552,67709400.28617513,97704834.97287624,53774.74924692256,177793.35800829777,427696.6005099716,15.260852819302698,20.211601770041376,27.533901190111003,0.832818017333211,42.284612888990345,64.59282443311436,75.37195435628946,81.31198169120906,16.874400934175938,20.327034550709723,21.97155676901476,0.13132548830934,1.76158141801253,10.61300928510168,0.0002300871929452,33.822247977901185,63.027489989655486,74.945699899723,81.11012514156315,7.591930008528758,6.460357075105566,2.643916926388511,3.7353122864715473,4.537911090731619,5.254513318360142,6.06455393286752,6.860879176321006,7.874459132712459,9.206283807437057,11.261825962504057,18.479644451493527,3.48253596044529,4.92010896079825,5.9772825692989,6.92118250887091,7.9881583814058,9.0370685301544,10.37214400536663,12.12640764218682,14.83394334491038,24.34116809656245,3.3,4.18,4.93,5.63,7.32,8.51,10.02,12.78,0.3059565572811916,0.1544127564826952,0.254528656816508,1.142718294832186,4.662235737515273,3.872727272727273,1.978328173374613,1.9575757575757573,65.55,74.77,9.21,6858.467,3029988.47,20781075931.8755
Albania,2008,national,consumption,2011,2008.0,1.0,0.31364958127441,5.25054159180846,31.11034495362427,0.0,75.8510209751488,97.09978489047155,99.0158642448724,99.67824797548074,2.11853496956573,7.227714347122539,14.137154208979242,9244.0,154750.0,916920.0,0.0,2235568.0,2861836.0,2918308.0,2937831.0,62440.0,213023.0,416666.0,0.310412103545076,0.4577277935852163,1.307345254657318,,3.8812218108743086,12.363526607148769,22.069747179406384,31.895595884260533,0.4295745270668373,0.5748610750670664,0.8030726711822748,2869.4494851706822,70833.37605731223,1198731.010900388,0.0,8676735.281292656,35382385.5312962,64406319.75163908,93703870.352253,26822.633470053323,122458.6307940117,334613.0776108337,16.33747913395137,14.303993549538008,23.769913721042144,,38.81221810874308,61.81763303574384,73.56582393135461,79.73898971065132,15.435310685155496,16.524553920921097,19.237137215893764,0.0512411155086449,0.75103738583368,7.39490576473968,0.0,29.439466854541653,60.02479805561302,72.84182564377721,79.48242904577948,8.314345397742978,6.957659224183439,3.104265077533177,4.2708973005471655,5.0621660479680495,5.806393156880112,6.578375376976687,7.419832116030003,8.562723994485387,9.918245417124265,12.085071024342978,20.335484465541843,3.73362535356766,5.13678118509071,6.08847215962694,6.98358425000761,7.91207853688934,8.92413264193258,10.29873499940216,11.92907552267035,14.53520445232358,24.458310898488943,3.81,4.7,5.43,6.2,7.93,9.24,10.74,13.62,0.2998467042234796,0.1488933809532339,0.2473111126075791,1.1146565887395858,4.395910737672932,3.574803149606299,1.956896551724138,1.826771653543307,66.03,75.44,9.42,8522.1298,2989503.577,25476937520.7583
Albania,2012,national,consumption,2011,2012.0,1.0,0.84975444767885,6.18241386926326,34.52890592661766,0.11132099775901,77.06983967714693,97.77262570432718,99.61829859921708,99.8859835646176,3.4924129328671296,7.75311184523735,14.84282292059738,24646.0,179315.0,1001477.0,3229.0,2235334.0,2835798.0,2889330.0,2897094.0,101294.0,224871.0,430501.0,0.3781037867954469,0.6586981418210976,1.377122619197955,0.1074167405008934,4.0304690181163085,12.5460806417231,22.24631929167399,32.1755927119236,0.5437886654154712,0.7146905963873659,0.8884043000907578,9318.745929360584,118114.45730065012,1379156.6293065106,346.8486550773849,9009444.432142,35578150.39163709,64276957.71901242,93215716.5921576,55082.52907459474,160713.18910022336,382458.9395933713,19.900199305023524,20.5843169319093,25.038593076326453,10.741674050089342,40.30469018116308,62.73040320861551,74.15439763891331,80.438981779809,19.91815500612124,20.94242706494747,21.693935754487207,0.16910086297433,1.27260912909812,8.64555455549084,0.0119586448590172,31.06275453684508,61.33315771101493,73.87134597251944,80.3472662850392,7.882866695887549,6.8252891049441375,2.884756356337055,4.093647559812519,4.842952533990954,5.542227380492469,6.372377439575013,7.297124458145896,8.289193140324155,9.690645418979472,11.736908456196854,18.078834215021296,3.65952700664343,5.19309499670742,6.14364383012781,7.03072574268422,8.08383255155063,9.25694260687266,10.5154551765395,12.29330114644084,14.88913730117996,22.93433964125377,3.65,4.49,5.17,5.93,7.74,8.91,10.52,13.26,0.2896048455859209,0.138417068042097,0.2499879207991324,1.0411925551409755,4.272573360538491,3.632876712328767,1.941434846266472,1.8712328767123287,67.09,76.85,9.75,9592.0,3008275.376,28855377406.592
Albania,2014,national,consumption,2011,2014.0,2.0,1.58089716965821,11.61562086400974,37.03384185206247,0.0,71.58568545345165,95.18214124180972,99.12648854074304,99.81975638870472,7.514618464949289,14.37582774078003,22.21602387505624,45674.0,335587.0,1069946.0,0.0,2068185.0,2749911.0,2863867.0,2883897.0,217105.0,415333.0,641844.0,0.2546937536304411,0.7016316473595281,1.742767928773196,,4.431035630419365,12.474531892268216,21.847937081578195,31.671177943511093,0.5253689568762477,0.7801093335869045,1.062084841785851,11632.88250331677,235458.459642442,1864667.574319166,0.0,9164201.425298875,34303852.47039918,62569586.0260081,91336415.0577578,114060.22738261776,324005.1498466498,681692.7831911978,13.404934401602167,21.92598897998525,31.686689614058107,,44.31035630419365,62.37265946134107,72.82645693859399,79.17794485877774,19.115901611706573,22.70784076149202,25.763112536606208,0.21191932649665,2.54683696531046,11.73479625717974,0.0,31.71987379235526,59.36763174741924,72.1903007829972,79.03524332955632,8.399774620228271,6.870836745603878,2.3964589487605177,3.505870367661804,4.387129096946935,5.301600624446828,6.310224211721486,7.503400737740724,8.898471533624102,10.688325235414196,13.549610346258156,21.456655099708144,2.85300386868641,4.17376718563257,5.22291287004521,6.311598660849251,7.51237324454546,8.932859602769689,10.59370273125528,12.724538119957,16.13092131499349,25.544322401265863,3.05,3.96,4.82,5.82,8.14,9.71,11.74,15.78,0.3459889646678993,0.1986615663134147,0.3243097015043411,1.376215371108856,5.93092380470313,5.173770491803279,2.296943231441048,2.2524590163934426,67.43,77.27,9.84,9808.0,3025656.671,29675640629.168
Albania,2015,national,consumption,2011,2015.0,2.0,0.24509790798944,4.69076710832596,24.461184845440588,0.0,62.1753802690021,92.29149173544076,98.35724035400422,99.6374381062715,4.96048835970365,10.77823508542475,18.76418997908274,7061.0,135127.0,704654.0,0.0,1791088.0,2658644.0,2833380.0,2870259.0,142897.0,310489.0,540541.0,0.1306593402644507,0.5868023595547062,1.3917083000471715,,3.818629361742992,11.38811287531541,20.4519104556664,30.137601721369773,0.6284464571235188,0.8809536228087237,1.1441430272630653,922.5856016072868,79292.84243954878,980672.8204614398,0.0,6839501.226265531,30276937.967280064,57948034.04687607,86502722.57917708,89803.11338357946,273526.4093922578,618456.2160998046,6.876807382339513,18.33757373608457,25.303787273584938,,38.18629361742992,56.94056437657705,68.17303485222133,75.34400430342443,19.18462706491854,21.51434417172949,23.28488718825429,0.0168560024850528,0.8601724392399699,6.18960542530095,0.0,23.74247267512663,52.55130078887005,67.05311637110347,75.07084432096704,9.985141415346556,8.18945365730761,3.149791826235528,4.540042192244724,5.558150902106676,6.569688585359499,7.608700902229888,8.873032805196933,10.458520310975857,12.504686576796164,15.846310684197944,24.7424893681223,3.15447893546554,4.54679809067797,5.56642181708527,6.57946473873899,7.6200231781753,8.88623649491796,10.47408331633816,12.52329441982386,15.86989109622737,24.779307912549537,3.97,5.06,6.06,7.05,9.6,11.38,13.8,18.26,0.3275373177638622,0.1754954700241345,0.3003637660213239,1.2485062568367649,5.278241370981092,4.599496221662469,2.22954822954823,2.062972292191436,67.55,77.44,9.89,10032.0,3034742.029,30444532034.928
Albania,2016,national,consumption,2011,2016.0,2.0,0.41036422288427,5.46261218520396,23.903491131383788,0.0,59.79901278008186,91.28642726132716,97.88307666824616,99.55510507286954,6.57246134537133,12.71899533854483,20.06597024463861,11802.0,157110.0,687489.0,0.0,1719880.0,2625490.0,2815216.0,2863305.0,189031.0,365811.0,577118.0,0.1402810821724934,0.5398477224854688,1.4507818090963696,,3.85195304987187,11.195751011294073,20.182376218941044,29.77022234489517,0.6375605900391548,0.9608029237024932,1.3039203484443078,1655.597331799768,84815.475679692,997396.535153854,0.0,6624897.011413632,29394332.322642475,56817748.44958233,85241226.49125007,120518.71589569146,351472.2783225327,752515.9036534821,7.383214851183867,16.870241327670897,26.377851074479448,,38.5195304987187,55.97875505647036,67.27458739647015,74.42555586223793,18.71520550642904,22.56303096421404,25.517195454475534,0.0302968156103252,0.92155442906573,6.30523144261721,0.0,23.03429890471034,51.10100848795379,65.85043252373303,74.0944306991045,10.387450232881111,8.516612198302338,3.084455427575804,4.5190764580045135,5.632509451736135,6.672655834016707,7.815966609973089,9.241364340066715,10.92811326672023,13.196201867095532,16.764058916046764,26.020100157576376,2.96940573328772,4.35051562865691,5.422417749744421,6.42376683827052,7.52443230508284,8.896662927744769,10.52049638912124,12.703985647337609,16.13876219881249,25.049554581942218,3.89,5.1,6.17,7.16,10.02,11.92,14.78,19.18,0.3373629871613542,0.187580582291876,0.3143803538459065,1.3069715177064989,5.626879681370308,4.930591259640103,2.251173708920188,2.190231362467866,67.77,77.59,9.83,10342.0,3044074.833,31481821922.886
Albania,2016,national,income,2011,2016.0,4.0,6.68160398486851,17.62164857539816,39.9498910436282,2.29844856600608,72.34523375101686,94.70076122305396,98.78681682834072,99.68667978596412,13.25119549867036,19.57238352960146,26.00888258534007,192170.0,506816.0,1148999.0,66106.0,2080722.0,2723690.0,2841209.0,2867090.0,381118.0,562922.0,748042.0,0.7012240154322023,1.156809929476195,2.165330338964681,0.31886525139142,4.785249131116877,12.804822066747432,22.12608490269541,31.89105663161568,0.9422428814991612,1.2043651742009664,1.4908668259830344,134754.2190456063,586289.7812174074,2487962.39414008,21078.90630848121,9956773.14259577,34876365.814979315,62864831.560302325,91434529.557939,359105.7225111973,677963.6525915564,1115231.002242001,36.90652712801064,36.1503102961311,39.36964252663056,31.886525139142,47.85249131116876,64.02411033373716,73.75361634231804,79.72764157903919,34.9376059939911,35.72551133497125,36.85342620849062,2.4659521060594902,6.37027547469438,15.728126339602118,0.73289868153035,34.61899683841343,60.63133008016637,72.85885945394168,79.47785001112531,8.242950169068417,6.742325745367449,1.5151996933919076,2.871316774977639,3.9501690875329087,5.012863904241623,6.065216471107059,7.305438651896073,8.716051124184506,10.64404860096344,13.708328453557945,22.64086892883442,1.83817645662554,3.483360588242089,4.79217877885017,6.081395375956951,7.35806519110927,8.86265050989833,10.57394615448653,12.91291149727572,16.63036676480018,27.46694868275929,2.3,3.43,4.48,5.5,8.01,9.5,11.88,16.02,0.3856564270560207,0.2737398437318147,0.3503600820347125,1.696002475321745,8.286574926710177,6.965217391304348,2.376854599406528,2.930434782608696,67.77,77.59,9.83,10342.0,3044074.833,31481821922.886
Algeria,1995,national,consumption,2011,1995.0,1.0,5.62411132812499,23.54044921874999,54.59161880224782,0.35783081054687,85.50964482226026,97.74488965984511,99.6575140552302,99.999,7.33275390625,14.16732421875,21.636533203125,1617370.0,6769712.0,15699342.0,102904.0,24590682.0,28109268.0,28659297.0,28757500.0,2108738.0,4074209.0,6222188.0,0.3731872481144854,0.8736620594499296,2.0397327347162024,0.2594547667109105,5.154614372363886,14.105367826592415,23.759814794821555,39.99960058313832,0.416478626022397,0.6007100239283878,0.8165156690807216,603581.8594829253,5914440.527802901,32022461.79090493,26698.93331361954,126755482.8634299,396491564.4762637,680939588.869785,1150288513.7696002,878244.3048812174,2447418.185879253,5080513.997966037,19.641434111288707,27.30193935781029,37.086049722112776,25.94547667109105,51.54614372363886,70.52683913296207,79.19938264940518,99.9990014578458,20.338336780201587,23.468081213351848,26.582509683914,1.10465611223558,6.42699871401238,20.24587489192331,0.0928407056676944,44.07692374094625,68.93638072515587,78.9281369473184,99.998,6.328702527096444,5.119379112993882,1.8173309278423169,2.591117436590376,3.3051513656938405,4.005541162428791,4.734036150159347,5.541595972417516,6.510150104758169,7.811207405594436,9.953908742603552,17.016986002876067,2.87156952007364,4.09423167781463,5.22247862266046,6.32916643700506,7.48026333974538,8.756290801615469,10.28670580878917,12.34250997285877,15.72819815749868,26.888585661938706,2.26,2.96,3.64,4.36,5.99,7.08,8.66,11.68,0.3533005431139451,0.2085175579872219,0.3133712353858625,1.4520677035025868,6.118001735730981,5.168141592920354,2.28125,2.265486725663717,61.74,72.28,10.54,5142.384,28207673.56,145054689192.167
